,review_lst
100,저희집 아이들이 마약 쿨 이불을 너무 좋아해요~~수시로 돌돌말고 누워있어요..이불하나로 매일 싸워서 하나 더 구매했어요~~~보들보들 부드럽고 시원한 느낌이 넘 좋아요~~^^
101,보들보들하이좋습니다리뷰보고샀는데잠도잘오고좋아요대만족
102,몸에 착 감기구요 덮으면 엄청 시원한데 또 잠은 솔솔와요... 침대에 계속 있고 싶게 만드는 이불이에요 신랑이 계속 뺏어가서 하나 더 구매해야되나 싶어요(2022-08-11 08:30:07 에 등록된 네이버 페이 구매평)
103,이불이 신기하게 몸에 착~ 감기네요아이 주려고 주문했는데 제가 쓰고 있어요
104,두딸 여름이불 작년부터 고민하다가 이거다 싶어서 바로 주문하고 세탁까지해서 줬더니 두딸이 너무 좋아하면서 엄마 너무 잠이 잘오고 촉감이 좋다고 좋아하네요~여름교체로 고민하다가 고민해결되니 너무 좋아요~(2022-08-12 12:35:22 에 등록된 네이버 페이 구매평)
105,가족 선물이번에 가족 선물해주고싶어서 9개를 구매했어요ㅋㅋ 배송도 빠르고 마약여름이불은 최고입니다. 감사합니다.
106,"믿고 쓰는 마약시리즈 매트릭스,배게는 전 부터 구입했었고이불은 이번이 처음이라서 조금 망설여졌는데..배송 오고열어보고 만져보자마자 정말 잘 샀단 생각이 들었어요!가볍고 부들부들한 재질에 무엇보다 봄,여름 나기 정말좋은 이불 같은 느낌!!! 지금 덥고 잘려고 준비중이에요마약 쿨 이불 대박사건~~~~^^"
107,처음에 누우면 딱 아 잘샀구나~ 라는 생각이 들어요! 근데 이불이라는게 덮다보면 역시 더워지는건 어쩔수없는것 같아요! 그래도 촉감 매우 만족합니당:)) 강추해요!! 그리고 퀸사이즈사면 베개커버가 두개가 있으니 참고하세요!!(2022-07-11 17:17:43 에 등록된 네이버 페이 구매평)
108,배송빠르고 촉감 짱좋네요!!!매트엄청시원하고 좋아요~
109,진짜 살에 닿는 느낌이 너무 좋네요~!!요즘 이불이 살짝 더워지려고해서 바꿨는데딱이에요~ 보들보들해서 느낌도 너무 좋아요 한 번 세탁했는데 금방 마르더라구요~
110,"싱글세트로 매트 쿨그레이, 이불 딥네이비 구매했습니다. 사전 지식 없이 우연히 알게된 사이트인데 후기가 많고 제품 만족도가 높은것 같아 나름 정독하다 첫 구매를 했어요..세트인데 이불만 먼저 와서 잘못 온건가 싶었어요.. 다음날 매트가 따로 왔더라구요. 같이 보내주셔도 되는데.. 제품 하나라도 먼저 보내주시네요..첫날 거실에서 자는 가족들에게 시험삼아 깔아주고 덮어줬는데, 아들이 너무 좋아하네요.매트가 얇아서 이게 시원하려나 싶었는데, 느낌이 너무 좋다고 합니다. 이불도 그렇고요..제 느낌으로도 매트와 이불의 감촉이 부드럽고 몸을 감싸면서도 덥지 않게 느껴집니다. 가벼운것도 좋구요.제품 하나 구매로 다른 제품에 대한 신뢰도 생기는것 같습니다.오늘 아침에 이층침대 중 하나에 깔아주었습니다.~~ 저녁에 아이가 기분좋게 잠들겠어요~~싱글 하나로는 부족할 듯 하여 퀸사이즈 재구매하러 들어왔다가 후기 남깁니다.잘 사용할께요. 감사합니다."
111,"와,,진짜시원합니다조작된 후기인가 했는데 진짜 시원하고 신기술ㅋㅋ이불도 ㅁㅐ끄럽구 조아용.패드고무줄도 제침대프레임 높은데 매트리스높고한데도 ㅇㄷ넉넉"
112,"1. 배송 :  - 매트와 이불이 따로 배송 되었으며 각각 2, 3일만에 배송됨2. 색상 : - 매트 쿨그레이, 이불 네이비. 전반적으로 색상은 만족3. 사용후기 (약 4-5일) - 생각보다 시원함. 특히 매트가 얇은데도 푹신하고 부드러운 느낌이 좋음 - 이불도 양면이 다른 재질인데 몸에 닿는 느낌이 아주 부드럽고 시원함 - 가을 초까지는 무난할것 같음"
113,"2주정도 사용해봤는데 한 면은 시원한 느낌, 다른 면은 보들보들한 느낌이라 활용도가 더 높네요~ 처음에 덮을 때는 시원한데, 체온이 높은 사람이 오랫동안(밤 동안) 덮고 나서 이불을 만져보면 온도가 높아져 있긴 하더라구요~ 본인은 별로 덥다고 느끼진 않는 것 같았어요~(아직 더운 날씨는 아니라 한여름에 어떨지 궁금하네요~ 아침에 보면 이불 감촉이 좋은지 남편 혼자 두르고 있어서 저는 아침에 이불이 어떤 느낌으로 다가오는지 아직 체험해보지 못했어요ㅎㅎ) (킹 사이즈인 저희 집 침대에는 좀 더 너비가 길었으면 해서) 킹 사이즈가 나왔으면, 노란 색이 많이 감도는 아이보리라 좀 더 하얀색이면 좋겠다는 개인적인 아쉬움이 약간 있지만 재구매의사 있어요~ (색상 비교하시라고 화이트 색상인 침구류와 같이 촬영했어요~)"
114,베드에 고정도 할 수 있고 좋으네요 여름에 쓰기 너무 좋은 재질로 되어있어요 후기가 너무 좋아서 살짝 의심했는데 실제 사용해보니 저도 좋은 후기쓰게되네요^^
115,매트랑 이불이랑 같이 샀습니다매트에 닿는 촉감이 시원하고 좋아요이불은 딥그레이 색상샀는데 일부러 이불을좀더 진한색으로 샀는데 색상매치가괜찮은거 같아요 올여름은 시원하게 잘 잘수있을거같아요 감사합니다
116,쿨링면 촉감 너무 좋으네요!! 찹찹한 느낌 진짜 온도가 확 내려갈것 같아요~~ 비싼감이 있어 고민하다 샀는데 오늘부터 세일이네요 ㅠㅜ 아직 안사신 분들 강추입니다!!(2022-07-28 22:06:40 에 등록된 네이버 페이 구매평)
117,기존에 마약쿨 이불을 쓰고 있었는데 너무 만족스러워서 2개 더 구매했어요!! 시원 보들보들해서 아이도 엄청 좋아한답니다.
118,싱글 1뿔1 이벤트로 1만원 할인해서 아이들 이불을 구매해봤는데 역시 마약이불스럽게 시원하고 포근하고 부드러워서 퀸사잊ㄷ 이불을 또 구매했습니다.역시나 가볍고 시원하고 포근해서 열댕아 올여름도 걱정없이 날것같습니다. 사는거 싫어하는 남편도 이불한번 잘 샀네 할 정도네요
119,매트도 좋지만  이불이 더 대박이에요~  피곤한 하루를 끝내고 샤워후 이 이불을 덮으면 기분이가 좋아지고 잠도 소로록 이에요겨울되면 또 여기꺼 써볼랍니다
120,더워보이는데 시원하구 색감도 맘에듭니당ㅎㅎ바깥쪽은 얇은 면으로 부들부들해서 추울때 뒤집어서 덮으면 개꿀안쪽은 통기성 있어보이는 소재 덮는이불도 얇고 가벼워서 좋네요~(2022-08-07 00:01:13 에 등록된 네이버 페이 구매평)
121,구매할 때 너무 걱정했는데 실몰 와서 너무 좋더라고요. 잘 쓸게요. 너무 좋아서 마약매트리스도 구매했어요
122,냉감이 있어서 시원하고고양이가 너무 좋아하네요
123,"얇아서 보관이 엄청 용이하네요! 백도 따로 있고! 재질 보들보들해서 좋아요. 추위를 타는지라 쿨이불이면 춥진 않을까 하는 헛된 망상도 했었는데, 그럴 일 없이 시원함이 필요할 땐 시원하게 여름 밤에 조금 쌀쌀하다 싶을 땐 따뜻하게 잘 덮을 것 같아요.(2020-06-14 00:27:02 에 등록된 네이버 페이 구매평)"
124,쿨매트만구매하려다 셋트로 구입하게됐는데대 만족 입니다특히 이불이 촉감이 너무 좋아요또하나더 사려구요~~쿨그레이컬러로샀는데 고급지고 맘에 듭니다^^
125,좋아요. 사이즈가 한가지라 갖고있는 베개보다 큰데 시원한 면을 베고 잤는데 땀안차고 부드러워요.
126,이거 진짜 최고예요ㅠㅠ 거짓말 안하고 그 시원한 면쪽으로 덮으면 진짜 차가워요 이불이 ㅋㅋㅋ 와 최고 촉감도 보들보들 진짜 최고예요ㅠㅠㅠ 반대면은 부드럽고 포근한 느낌이라 약간 쌀쌀할때 덮으면 또 진짜 좋아요 ㅠㅠ 현빈 모델이라 구경하다가 이불 바꿀 때가 되서 속는 셈치고 한 번 사보자 했는데 여름이불 이걸로 무조건 정착합니다 ㅠㅠㅠㅠ
127,씨원합니다~~~ 이불은 계속 가만히 있으면 약간 더워지려하다가도 슬쩍 움직이면 다시 시원해지는 느낌이고 쿨매트 부들부들하고 비슷하게 시원합니다 딱 퀸사이즈 맞아서 집에있는 토퍼에 고정시켜서 쓰려고요 좋습니다!! 배송은 따로따로 왓네용
128,촉감이 너무좋아요 에어컨을 틀지않아도 패드 이불 베개커버만으로도 시원합니다 신기하네요
129,"이거 완젼 좋아요!이불 두개샀는데 아들,남편이 좋다고 난리에요이불도 사고 패드도 사고 베개커버도 샀는데 다 마음에 들어요배송도 빠르고 좋네요"
130,침대가 라지킹인데도 퀸사이즈이불이 넉넉해서 다 커버합니다! 와 이건 진짜강추에요 더위를많이타서 여름내내 꿉꿉하고 에어컨을틀면 추워서힘들고 근데 쿨이불덮으면 다해결이네요! 포근히 여름날수있어서 좋아요 조만간 재구매할거에요!!
131,여름에 이 이불이면 완벽한 꿀잠입니다~ 시원하고 답답함이 없는 새로운 경험입니다. 또 선풍기바람은 막아주는 원리가 궁금하네요!~
132,쫀쫀 부드러움 굿굿 시원합니다 이 가격에 이만한 퀄리티 없을거같습니다 고민말고 사세요 ㅋ(2020-06-11 12:16:17 에 등록된 네이버 페이 구매평)
133,전 EK 침대라 190 *205사이즈 임에도 사이즈가 없어 어쩔수 없이 퀸을 샀습니다. 퀸을 사면 옆이 좀 모자라네요 한 10센티.. 세로는 50센티 정도요.. 하지만 몸에 닫는 부분은 충분합니다. 큰 침대 가지신 분들도 생각해보세요. 매트는 시원하고 이불은 잘 덥지 않지만 뭔가 포근한 느낌이 듭니다. 자세한 건 사진을 참고하세요. 남편이 더위를 많이 타는데 시원하다고 잘 자네요 ^^ 마음에 들고 다양한 사이즈로 만들어주셨으면 합니다.
134,까칠한 느낌 이불 싫어하는편이예요. 그래서 검색 많이해보고 심사숙고해 구입한 결과 아주 대만족 입니다! 컬러가 애매하게 밝진 않을까 걱정했는데 괜한 걱정했었네여 예뻐요 ~(2020-06-10 18:12:34 에 등록된 네이버 페이 구매평)
135,사실 이불에 큰 관심없이 살았어요지난 주까지 봄 가을 이불 덮고 살았을 정도로요올해는 유난히 더 더워서 안되겠다 싶어서샀는데 비싼 값 하려나 했어요받았는데 다르긴 다르네요 ㅋ(2022-07-15 12:47:04 에 등록된 네이버 페이 구매평)
136,아직 써보지는 않았지만 생각보다 두께는 있습니다. 촉감은 부들부들해서 잠이 잘 올것 같습니다.
137,아들방 여름이불로 구입하게 되었는데 올여름 시원하게 보내겠네요~색상도 맘에들어요.딸래미 방에도 해줘야겠어요 ^^
138,바디럽 웜매트 쓰고 무한신뢰에 쿨이불 구매했어요^^진짜 촉감 너무너무 좋구요 매트리스도 사려구요 이불은 이제 바디럽에서만 사야겟어요 넘 만족합니다
139,촉감 너무좋아요시원하고 부드럽고 포근하고 최고네요두개 구입했는데 두개 더 구입해야겠어요
140,매번 제품 구입하고 후기 안남기는데 이번에 처음으로 후기 남겨봅니다몸에 열도 많고 땀도 많아서 항상 자고 일어나면 시트가 땀에 젖어 있고 더워서 자는 중간에 잠에서 깨고...날씨가더울수록 더심해서.걱정했는데 쿨매트와 쿨이불사고 사용해보니 솔직히 어~~~엄청 시원한건아니지만 다른 매트와 이불보단 촉감도 다르고 시원함감도있어 확실히 다르네요아침에 일어날때 깔끔하게 일어납니다촉감도 보들보들해서 좋고 ㅋ바디럽 제품들은 다 만족하고 쓰고있습니다좋은 제품 마니 만들어 주시길..
141,색상도 이쁘고 배송도 빠르고시원해요 ㅎㅎ저보다 고양이가 더 좋아하네요 ㅋㅋ(2022-07-10 16:56:21 에 등록된 네이버 페이 구매평)
142,바디럽 바디필로우 웜이불에이어 3번째 상품입니다. 역시 실망시키지않아요 바디럽!!! 얇은 보자기같을줄 알았는데 적당한 두께감에 시원함하면서 또 적당히 포근따따한느낌까지!! 면이 양쪽이달라 덮었을때느낌이 좋아요~ 세탁도쉽고 ㅋㅋ벌레에 예민한데 안생기는소재라서 더좋아요
143,꿀잠~  쿨잠~~편안하고 시원한 잠을 청할 수 있어 좋아요.다른방 침구도 구매합니다.
144,색상이 모니터 화면보다 실물이 훨씬 더 예뻐요사이즈랑 두께는 말할것도 없이 좋고여름이불 최고네요
145,여름이불 찾다가 바디럽에서 구매하게 되었는데요... 이거 왜 이제 알았을까요.. 이 이불 최고에요 ㅠㅠㅜ 보통 여름이불은 넘 가볍고 살짝 그 까슬한 느낌?이 있어서 싫어하거든요.. 그래서 그냥 더워도 차렵이불 덮는 스타일이었는데 이거는 촉감이 그냥 미쳤어요..!!!!! 너무 가볍지도 않고 적당한 무게감과 양면이 달라서 더 좋은 것 같아요 ! 다리에 착 감기는 느낌이 진짜 최곱니다 ㅠㅜㅜㅜ 남편도 너무 좋아하네요 !! ^_^ 올여름은 이걸로 끝끝 !!!
146,"마약베개 구입후 바디럽을 접하게 되어 이불과 패드도 구입하게 되었어요. 베개 사용후 허리도 아픈게 사라졌고요.좋은 이미지가 많아서 패드,이불도 또 구입했네요. 이불도 패드도 신기하게 선풍기를 틀면 더 시원해지는거 같아요. 암튼 이번 여름에 잘 사용할거 같습니다.겨울 제품도 나중에 구입할까 생각중입니다."
147,냉감소재라 확실히 시원하고 좋아요. 식구 수대로 수퍼싱글 사이즈로 이불 4개 주문했어요. 남편은 침대에깔고자고 저는 덥고자요. ㅋㅋ 애들도 덥고잡니다. 색상도 기존 침구류 하고 잘어울려서 좋아요.(2022-07-06 23:51:10 에 등록된 네이버 페이 구매평)
148,쿨 이불 아이보리 싱글에 만족해서 그레이도 시켰어요.너무 이쁘네요~~ 쿨 기능은 이미 충분히 느꼈습니다 ㅋ
149,더예쁜 색상이 많았으면 좋겠어요~촉감 너무 좋아요
